,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
74,Tyler Herro,MIA,H,ORL,04/09/2023,W,9,100.0,88.9,11.1,42.9,1.5,37.5,0.0,6.7,4.2,25.0,66.7,66.7,23.8,102.46,13.9
75,Max Christie,LAL,H,UTA,04/09/2023,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.82,0.0
76,Keon Ellis,SAC,A,DEN,04/09/2023,L,13,73.1,100.0,-26.9,16.7,0.0,20.0,0.0,0.0,0.0,0.0,0.0,12.9,13.8,91.46,-6.3
77,Jakob Poeltl,TOR,H,MIL,04/09/2023,W,11,134.8,112.5,22.3,12.5,0.0,14.3,10.0,25.0,18.2,0.0,50.0,50.0,25.0,100.27,11.5
78,DeMar DeRozan,CHI,H,DET,04/09/2023,W,24,100.0,106.1,-6.1,38.5,0.0,25.0,0.0,8.7,3.9,0.0,50.0,51.8,27.8,98.02,15.3
79,Mo Bamba,LAL,H,UTA,04/09/2023,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,108.82,-100.0
80,Richaun Holmes,SAC,A,DEN,04/09/2023,L,8,33.3,120.0,-86.7,0.0,0.0,0.0,0.0,25.0,10.5,0.0,0.0,0.0,13.3,92.11,0.0
81,JD Davison,BOS,H,ATL,04/09/2023,W,35,106.9,116.7,-9.7,12.5,1.5,25.0,2.7,5.1,3.9,16.7,58.3,58.1,11.3,99.07,4.5
82,Alperen Sengun,HOU,A,WAS,04/09/2023,W,24,107.4,114.8,-7.4,33.3,1.5,28.6,12.0,30.0,21.8,19.0,44.4,53.6,25.4,110.14,16.2
83,Jaden McDaniels,MIN,H,NOP,04/09/2023,W,9,88.9,90.0,-1.1,0.0,0.0,0.0,0.0,7.1,4.3,50.0,0.0,0.0,10.5,100.2,-6.3
84,Isaiah Jackson,IND,A,NYK,04/09/2023,W,26,109.7,129.5,-19.8,15.8,1.0,20.0,13.8,13.5,13.6,20.0,16.7,34.7,17.4,115.01,3.9
85,Goga Bitadze,ORL,A,MIA,04/09/2023,L,20,110.0,125.0,-15.0,7.1,1.0,16.7,19.0,26.7,22.2,16.7,50.0,50.0,10.6,94.5,7.8
86,Larry Nance Jr.,NOP,A,MIN,04/09/2023,L,17,94.4,125.7,-31.3,15.4,0.0,50.0,0.0,6.7,3.3,0.0,50.0,50.0,5.1,99.78,5.7
87,Alex Len,SAC,A,DEN,04/09/2023,L,12,81.5,93.1,-11.6,10.0,0.0,100.0,9.1,30.8,20.8,0.0,0.0,0.0,0.0,109.42,13.5
88,Max Strus,MIA,H,ORL,04/09/2023,W,11,95.5,86.4,9.1,20.0,0.0,50.0,0.0,6.3,3.6,0.0,0.0,0.0,8.3,99.31,1.3
89,Donovan Williams,ATL,A,BOS,04/09/2023,L,3,133.3,33.3,100.0,0.0,0.0,0.0,0.0,25.0,12.5,0.0,50.0,50.0,50.0,112.21,30.0
