,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plusminus
220,Victor Oladipo,MIA,2022-2023,38,57.89473684210527,26.736842105263158,10.105263157894736,0.3779527559055118,3.6052631578947367,9.210526315789474,39.14285714285714,1.4736842105263157,4.684210526315789,31.46067415730337,1.4210526315789473,1.868421052631579,76.05633802816901,0.42105263157894735,2.763157894736842,3.1842105263157894,3.3947368421052633,1.368421052631579,0.2894736842105263,1.9473684210526316,2.3421052631578947,-51
221,Josh Minott,MIN,2022-2023,14,42.857142857142854,6.571428571428571,3.2857142857142856,0.5,1.2857142857142858,2.4285714285714284,52.94117647058824,0.14285714285714285,0.42857142857142855,33.33333333333333,0.5714285714285714,0.5714285714285714,100.0,0.35714285714285715,1.4285714285714286,1.7857142857142858,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.21428571428571427,0.7142857142857143,30
222,Alex Caruso,CHI,2022-2023,59,45.76271186440678,24.016949152542374,5.627118644067797,0.23429781227946367,1.9322033898305084,4.338983050847458,44.53125,0.8135593220338984,2.2542372881355934,36.09022556390977,0.9491525423728814,1.1694915254237288,81.15942028985508,0.6101694915254238,2.389830508474576,3.0,3.0338983050847457,1.5593220338983051,0.6440677966101694,1.2372881355932204,2.440677966101695,174
223,Deni Avdija,WAS,2022-2023,69,44.927536231884055,25.855072463768117,8.55072463768116,0.3307174887892377,3.0579710144927534,7.231884057971015,42.28456913827655,0.8405797101449275,2.927536231884058,28.71287128712871,1.5942028985507246,2.101449275362319,75.86206896551724,1.0289855072463767,5.202898550724638,6.231884057971015,2.536231884057971,0.8260869565217391,0.4057971014492754,1.4057971014492754,2.7681159420289854,-26
224,Blake Griffin,BOS,2022-2023,34,61.76470588235294,14.352941176470589,4.470588235294118,0.3114754098360656,1.7058823529411764,3.4705882352941178,49.152542372881356,0.5882352941176471,1.7058823529411764,34.48275862068966,0.47058823529411764,0.7647058823529411,61.53846153846154,1.088235294117647,2.6176470588235294,3.7058823529411766,1.2941176470588236,0.35294117647058826,0.17647058823529413,0.47058823529411764,1.9411764705882353,76
225,Malcolm Brogdon,BOS,2022-2023,60,68.33333333333333,25.9,14.716666666666667,0.5682110682110683,5.166666666666667,10.65,48.5133020344288,2.0166666666666666,4.416666666666667,45.660377358490564,2.3666666666666667,2.7,87.65432098765432,0.6166666666666667,3.6166666666666667,4.233333333333333,3.6166666666666667,0.6166666666666667,0.26666666666666666,1.5166666666666666,1.6333333333333333,124
226,Derrick White,BOS,2022-2023,72,68.05555555555556,28.069444444444443,12.027777777777779,0.4285007422068283,4.166666666666667,9.041666666666666,46.08294930875576,1.7083333333333333,4.569444444444445,37.38601823708207,1.9861111111111112,2.263888888888889,87.73006134969326,0.625,2.8055555555555554,3.4305555555555554,3.861111111111111,0.6805555555555556,0.8888888888888888,1.0833333333333333,2.2777777777777777,378
227,Jayson Tatum,BOS,2022-2023,67,70.1492537313433,37.44776119402985,29.970149253731343,0.8003188521323237,9.716417910447761,21.253731343283583,45.71629213483146,3.253731343283582,9.432835820895523,34.49367088607595,7.2835820895522385,8.477611940298507,85.91549295774648,1.0895522388059702,7.82089552238806,8.91044776119403,4.731343283582089,1.0149253731343284,0.746268656716418,2.955223880597015,2.1492537313432836,383
228,Bradley Beal,WAS,2022-2023,49,48.97959183673469,33.59183673469388,23.346938775510203,0.6950182260024301,8.979591836734693,17.612244897959183,50.984936268829664,1.6326530612244898,4.387755102040816,37.2093023255814,3.7551020408163267,4.448979591836735,84.40366972477065,0.7959183673469388,3.1020408163265305,3.8979591836734695,5.387755102040816,0.9183673469387755,0.673469387755102,2.9183673469387754,2.061224489795918,52
229,Corey Kispert,WAS,2022-2023,63,44.44444444444444,27.555555555555557,9.920634920634921,0.36002304147465436,3.5238095238095237,7.063492063492063,49.8876404494382,1.9682539682539681,4.650793650793651,42.32081911262799,0.9047619047619048,1.0317460317460319,87.6923076923077,0.4444444444444444,2.2857142857142856,2.7301587301587302,1.1746031746031746,0.49206349206349204,0.1111111111111111,0.6984126984126984,1.253968253968254,-55
230,PJ Dozier,SAC,2022-2023,9,88.88888888888889,2.0,0.7777777777777778,0.3888888888888889,0.3333333333333333,0.8888888888888888,37.5,0.1111111111111111,0.5555555555555556,20.0,0.0,0.0,,0.0,0.5555555555555556,0.5555555555555556,0.0,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,-8
231,Kendrick Nunn,WAS,2022-2023,60,46.666666666666664,13.55,6.5,0.4797047970479705,2.5166666666666666,6.016666666666667,41.82825484764543,1.0,2.9833333333333334,33.5195530726257,0.4666666666666667,0.55,84.84848484848484,0.2,1.2666666666666666,1.4666666666666666,1.15,0.35,0.05,0.8666666666666667,0.8666666666666667,-5
232,Nathan Knight,MIN,2022-2023,36,47.22222222222222,7.944444444444445,3.7222222222222223,0.46853146853146854,1.2222222222222223,2.1666666666666665,56.41025641025641,0.2222222222222222,0.6111111111111112,36.36363636363637,1.0555555555555556,1.5277777777777777,69.0909090909091,0.5833333333333334,0.9166666666666666,1.5,0.3611111111111111,0.25,0.16666666666666666,0.5277777777777778,1.0277777777777777,-2
233,Wendell Moore Jr.,MIN,2022-2023,27,51.85185185185185,5.555555555555555,1.4814814814814814,0.26666666666666666,0.6296296296296297,1.5555555555555556,40.476190476190474,0.07407407407407407,0.6296296296296297,11.76470588235294,0.14814814814814814,0.18518518518518517,80.0,0.1111111111111111,0.5185185185185185,0.6296296296296297,0.6666666666666666,0.2962962962962963,0.18518518518518517,0.2962962962962963,0.48148148148148145,-51
234,Kenneth Lofton Jr.,MEM,2022-2023,16,68.75,4.5625,2.9375,0.6438356164383562,1.1875,2.5,47.5,0.25,0.6875,36.36363636363637,0.3125,0.5625,55.55555555555556,0.5,0.6875,1.1875,0.6875,0.0625,0.0625,0.3125,0.8125,-34
235,Anthony Gill,WAS,2022-2023,48,37.5,9.979166666666666,3.1458333333333335,0.31524008350730687,1.125,1.9583333333333333,57.446808510638306,0.0625,0.4583333333333333,13.636363636363635,0.8333333333333334,1.0208333333333333,81.63265306122449,0.6041666666666666,0.9583333333333334,1.5625,0.4791666666666667,0.125,0.22916666666666666,0.22916666666666666,1.2083333333333333,-16
236,Johnny Davis,WAS,2022-2023,17,41.17647058823529,7.0,2.0588235294117645,0.29411764705882354,0.8823529411764706,2.176470588235294,40.54054054054054,0.058823529411764705,0.47058823529411764,12.5,0.23529411764705882,0.4117647058823529,57.14285714285714,0.11764705882352941,0.8823529411764706,1.0,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.23529411764705882,1.0588235294117647,-45
237,Malachi Flynn,TOR,2022-2023,46,52.17391304347826,12.978260869565217,4.543478260869565,0.3500837520938023,1.6304347826086956,4.478260869565218,36.407766990291265,0.9130434782608695,2.5,36.52173913043478,0.3695652173913043,0.5217391304347826,70.83333333333334,0.32608695652173914,1.1521739130434783,1.4782608695652173,1.4130434782608696,0.391304347826087,0.06521739130434782,0.41304347826086957,1.2173913043478262,-66
238,Mike Muscala,BOS,2022-2023,53,45.28301886792453,15.075471698113208,6.113207547169812,0.40550688360450565,2.0943396226415096,4.773584905660377,43.873517786561266,1.320754716981132,3.3962264150943398,38.88888888888889,0.6037735849056604,0.7735849056603774,78.04878048780488,0.5094339622641509,2.6792452830188678,3.188679245283019,0.7735849056603774,0.2830188679245283,0.41509433962264153,0.3584905660377358,1.6226415094339623,165
239,Daniel Gafford,WAS,2022-2023,69,43.47826086956522,19.753623188405797,8.46376811594203,0.4284666177549523,3.463768115942029,4.666666666666667,74.22360248447205,0.0,0.0,,1.536231884057971,2.3333333333333335,65.83850931677019,2.0144927536231885,3.3333333333333335,5.3478260869565215,1.0434782608695652,0.43478260869565216,1.2463768115942029,1.0144927536231885,2.246376811594203,-28
240,Luke Kornet,BOS,2022-2023,59,62.71186440677966,11.796610169491526,3.847457627118644,0.3261494252873563,1.6440677966101696,2.406779661016949,68.30985915492957,0.05084745762711865,0.1694915254237288,30.0,0.5084745762711864,0.6271186440677966,81.08108108108108,1.3220338983050848,1.6101694915254237,2.9322033898305087,0.6949152542372882,0.1694915254237288,0.7288135593220338,0.4067796610169492,1.2542372881355932,56
241,Jordan Goodwin,WAS,2022-2023,51,37.254901960784316,16.80392156862745,5.686274509803922,0.338389731621937,2.196078431372549,4.882352941176471,44.97991967871486,0.5686274509803921,1.5490196078431373,36.708860759493675,0.7254901960784313,0.9607843137254902,75.51020408163265,0.8823529411764706,2.196078431372549,3.0784313725490198,2.3333333333333335,0.9019607843137255,0.43137254901960786,0.8431372549019608,1.5490196078431373,-96
242,Monte Morris,WAS,2022-2023,57,45.614035087719294,27.666666666666668,10.192982456140351,0.3684210526315789,3.912280701754386,8.192982456140351,47.75160599571734,1.2982456140350878,3.263157894736842,39.784946236559136,1.0701754385964912,1.2982456140350878,82.43243243243244,0.40350877192982454,3.0701754385964914,3.473684210526316,5.175438596491228,0.6842105263157895,0.17543859649122806,1.0175438596491229,1.3157894736842106,12
