,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plusminus
467,Delon Wright,WAS,2022-2023,43,53.48837209302325,23.837209302325583,6.627906976744186,0.2780487804878049,2.4651162790697674,5.255813953488372,46.902654867256636,0.7674418604651163,2.2093023255813953,34.73684210526316,0.9302325581395349,1.0232558139534884,90.9090909090909,1.2093023255813953,1.9767441860465116,3.186046511627907,3.813953488372093,1.930232558139535,0.3488372093023256,0.9302325581395349,1.255813953488372,26
468,Buddy Boeheim,DET,2022-2023,7,14.285714285714285,10.0,2.0,0.2,0.5714285714285714,3.2857142857142856,17.391304347826086,0.5714285714285714,3.142857142857143,18.181818181818183,0.2857142857142857,0.2857142857142857,100.0,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.0,0.0,0.5714285714285714,17
469,Kira Lewis Jr.,NOP,2022-2023,22,40.909090909090914,10.272727272727273,4.818181818181818,0.4690265486725664,1.7272727272727273,3.8181818181818183,45.23809523809524,0.5909090909090909,1.3636363636363635,43.333333333333336,0.7727272727272727,0.9090909090909091,85.0,0.22727272727272727,1.2727272727272727,1.5,0.8636363636363636,0.4090909090909091,0.09090909090909091,0.45454545454545453,1.0909090909090908,59
470,Lamar Stevens,CLE,2022-2023,54,62.96296296296296,18.01851851851852,5.462962962962963,0.30318602261048305,2.1481481481481484,4.611111111111111,46.58634538152611,0.48148148148148145,1.5185185185185186,31.70731707317073,0.6851851851851852,0.9444444444444444,72.54901960784314,0.7592592592592593,2.4444444444444446,3.2037037037037037,0.5555555555555556,0.42592592592592593,0.2777777777777778,0.4444444444444444,1.2592592592592593,26
471,Sam Hauser,BOS,2022-2023,71,67.6056338028169,15.43661971830986,6.084507042253521,0.39416058394160586,2.1267605633802815,4.732394366197183,44.94047619047619,1.6619718309859155,4.0,41.54929577464789,0.16901408450704225,0.23943661971830985,70.58823529411765,0.4647887323943662,2.0,2.464788732394366,0.7323943661971831,0.323943661971831,0.2676056338028169,0.3380281690140845,1.2816901408450705,160
472,Garrett Temple,NOP,2022-2023,21,61.904761904761905,7.0476190476190474,2.0,0.28378378378378377,0.7142857142857143,1.9523809523809523,36.58536585365854,0.42857142857142855,1.0952380952380953,39.130434782608695,0.14285714285714285,0.19047619047619047,75.0,0.19047619047619047,0.47619047619047616,0.6666666666666666,0.5714285714285714,0.42857142857142855,0.047619047619047616,0.19047619047619047,0.6666666666666666,-22
473,Matthew Dellavedova,SAC,2022-2023,30,56.666666666666664,6.3,1.4,0.2222222222222222,0.5,1.5,33.33333333333333,0.26666666666666666,0.8,33.33333333333333,0.13333333333333333,0.23333333333333334,57.14285714285714,0.03333333333333333,0.3333333333333333,0.36666666666666664,1.2666666666666666,0.2,0.0,0.3333333333333333,0.5666666666666667,-59
474,Mike Muscala,BOS,2022-2023,54,46.2962962962963,14.851851851851851,6.0,0.40399002493765584,2.0555555555555554,4.685185185185185,43.873517786561266,1.2962962962962963,3.3333333333333335,38.88888888888889,0.5925925925925926,0.7592592592592593,78.04878048780488,0.5,2.6481481481481484,3.1481481481481484,0.7592592592592593,0.2777777777777778,0.4074074074074074,0.35185185185185186,1.6111111111111112,164
475,Ousmane Dieng,OKC,2022-2023,29,55.172413793103445,15.448275862068966,5.275862068965517,0.34151785714285715,2.0689655172413794,4.9655172413793105,41.66666666666667,0.7931034482758621,2.7241379310344827,29.11392405063291,0.3448275862068966,0.5862068965517241,58.82352941176471,0.4827586206896552,2.3793103448275863,2.8620689655172415,1.103448275862069,0.3793103448275862,0.20689655172413793,0.5862068965517241,1.1724137931034482,28
476,Trent Forrest,ATL,2022-2023,19,36.84210526315789,12.68421052631579,2.6315789473684212,0.2074688796680498,1.263157894736842,2.6315789473684212,48.0,0.0,0.10526315789473684,0.0,0.10526315789473684,0.15789473684210525,66.66666666666666,0.2631578947368421,1.263157894736842,1.5263157894736843,1.631578947368421,0.3157894736842105,0.10526315789473684,0.5789473684210527,0.8421052631578947,-58
477,Chimezie Metu,SAC,2022-2023,59,61.016949152542374,10.796610169491526,4.898305084745763,0.45368916797488223,2.0,3.3559322033898304,59.59595959595959,0.15254237288135594,0.6101694915254238,25.0,0.7457627118644068,0.9830508474576272,75.86206896551724,0.7457627118644068,2.2711864406779663,3.016949152542373,0.6779661016949152,0.3389830508474576,0.3559322033898305,0.4915254237288136,1.305084745762712,97
478,Bruno Fernando,ATL,2022-2023,35,31.428571428571427,10.742857142857142,3.7142857142857144,0.34574468085106386,1.4285714285714286,2.7714285714285714,51.546391752577314,0.0,0.02857142857142857,0.0,0.8571428571428571,1.2571428571428571,68.18181818181817,1.4,2.142857142857143,3.5428571428571427,0.8857142857142857,0.17142857142857143,0.8857142857142857,0.6285714285714286,1.9714285714285715,-78
479,Tre Jones,SAS,2022-2023,59,28.8135593220339,29.203389830508474,12.508474576271187,0.4283226929773651,4.864406779661017,11.0,44.22187981510015,0.6271186440677966,2.389830508474576,26.24113475177305,2.152542372881356,2.4745762711864407,86.98630136986301,0.7796610169491526,2.694915254237288,3.4745762711864407,6.271186440677966,1.305084745762712,0.15254237288135594,1.6610169491525424,1.423728813559322,-323
480,Julian Champagnie,SAS,2022-2023,7,57.14285714285714,10.428571428571429,4.714285714285714,0.4520547945205479,1.7142857142857142,3.7142857142857144,46.15384615384615,1.2857142857142858,3.0,42.857142857142854,0.0,0.0,,0.2857142857142857,2.0,2.2857142857142856,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,1.0,-34
481,Anthony Gill,WAS,2022-2023,49,36.734693877551024,9.795918367346939,3.122448979591837,0.31875,1.1224489795918366,1.9387755102040816,57.89473684210527,0.061224489795918366,0.4489795918367347,13.636363636363635,0.8163265306122449,1.0,81.63265306122449,0.5918367346938775,0.9387755102040817,1.530612244897959,0.46938775510204084,0.12244897959183673,0.22448979591836735,0.22448979591836735,1.183673469387755,-14
482,Franz Wagner,ORL,2022-2023,72,40.27777777777778,33.013888888888886,18.75,0.5679427850231384,6.875,14.097222222222221,48.76847290640394,1.6805555555555556,4.625,36.33633633633634,3.3194444444444446,3.9722222222222223,83.56643356643356,0.875,3.125,4.0,3.5416666666666665,0.8888888888888888,0.19444444444444445,2.111111111111111,2.3055555555555554,5
483,Grant Williams,BOS,2022-2023,70,68.57142857142857,26.571428571428573,8.314285714285715,0.31290322580645163,2.7857142857142856,6.142857142857143,45.348837209302324,1.5142857142857142,3.742857142857143,40.458015267175576,1.2285714285714286,1.5285714285714285,80.37383177570094,1.0857142857142856,3.585714285714286,4.671428571428572,1.7142857142857142,0.5857142857142857,0.37142857142857144,1.0714285714285714,2.5714285714285716,154
484,Devonte' Graham,SAS,2022-2023,67,44.776119402985074,17.955223880597014,7.417910447761194,0.41313383208645055,2.2238805970149254,5.82089552238806,38.205128205128204,1.6567164179104477,4.582089552238806,36.156351791530945,1.3134328358208955,1.7313432835820894,75.86206896551724,0.2835820895522388,1.3582089552238805,1.6417910447761195,2.6417910447761193,0.582089552238806,0.22388059701492538,0.6865671641791045,1.0597014925373134,-119
485,Seth Curry,BKN,2022-2023,54,59.25925925925925,21.074074074074073,9.796296296296296,0.4648506151142355,3.6296296296296298,7.87037037037037,46.11764705882353,1.6666666666666667,4.092592592592593,40.723981900452486,0.8703703703703703,0.8888888888888888,97.91666666666666,0.24074074074074073,1.537037037037037,1.7777777777777777,1.7592592592592593,0.6481481481481481,0.12962962962962962,0.8888888888888888,1.6481481481481481,-38
486,Jarrett Allen,CLE,2022-2023,63,63.49206349206349,33.15873015873016,14.317460317460318,0.43178554332216373,5.968253968253968,9.253968253968255,64.49399656946827,0.015873015873015872,0.14285714285714285,11.11111111111111,2.365079365079365,3.253968253968254,72.6829268292683,3.1904761904761907,6.682539682539683,9.873015873015873,1.6666666666666667,0.8095238095238095,1.2222222222222223,1.3968253968253967,2.2857142857142856,301
