,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,AST/TO,STL,BLK,EFG%,TS%,OFFRTG,DEFRTG,NETRTG,PF,Plusminus
439,Jalen Green,HOU,2022-2023,70,22.857142857142858,34.07142857142857,22.014285714285716,0.6461215932914046,7.4,17.814285714285713,41.53969526864475,2.5,7.414285714285715,33.71868978805395,4.714285714285714,5.928571428571429,79.51807228915662,0.5571428571428572,3.242857142857143,3.8,3.5714285714285716,2.6714285714285713,1.3368983957219251,0.7714285714285715,0.2571428571428571,0.48556535685645547,0.5389619473978736,110.97224780242782,120.6187944746756,-9.64654667224778,1.7142857142857142,-459
440,Devin Booker,PHX,2022-2023,48,60.416666666666664,34.520833333333336,28.145833333333332,0.8153289076644539,10.208333333333334,20.458333333333332,49.89816700610998,2.1666666666666665,5.895833333333333,36.74911660777385,5.5625,6.541666666666667,85.03184713375796,0.9166666666666666,3.7083333333333335,4.625,5.4375,2.6875,2.0232558139534884,0.875,0.375,0.5519348268839104,0.6030388515926296,119.47295180722891,113.87981927710841,5.593132530120499,3.0,202
441,Zach LaVine,CHI,2022-2023,71,49.29577464788733,36.2112676056338,25.098591549295776,0.6931155192532089,8.774647887323944,18.08450704225352,48.5202492211838,2.7464788732394365,7.154929577464789,38.38582677165354,4.802816901408451,5.661971830985915,84.82587064676616,0.5915492957746479,4.0,4.591549295774648,4.140845070422535,2.6056338028169015,1.5891891891891892,0.8873239436619719,0.23943661971830985,0.5611370716510904,0.6099063578117299,112.01134862028759,111.76840264282936,0.2429459774582341,2.0985915492957745,14
442,Immanuel Quickley,NYK,2022-2023,75,57.333333333333336,28.493333333333332,14.08,0.4941506785212915,4.8933333333333335,10.973333333333333,44.59295261239368,1.9333333333333333,5.373333333333333,35.98014888337469,2.36,2.8533333333333335,82.71028037383178,0.7333333333333333,3.3466666666666667,4.08,3.3066666666666666,1.1466666666666667,2.883720930232558,0.9066666666666666,0.18666666666666668,0.5340218712029161,0.575690174015439,113.6711214953271,108.29196261682243,5.3791588785046685,2.026666666666667,252
443,Bruce Brown,DEN,2022-2023,74,68.91891891891892,28.175675675675677,11.027027027027026,0.39136690647482014,4.283783783783784,8.891891891891891,48.17629179331307,1.2027027027027026,3.27027027027027,36.77685950413223,1.2567567567567568,1.6756756756756757,75.0,0.7297297297297297,3.310810810810811,4.04054054054054,3.324324324324324,1.5810810810810811,2.1025641025641026,1.027027027027027,0.6081081081081081,0.5493920972644377,0.5725833614011452,114.46168582375479,113.51647509578548,0.9452107279693109,2.391891891891892,46
444,Nikola Jokic,DEN,2022-2023,67,71.64179104477611,33.8955223880597,24.925373134328357,0.7353588727432849,9.507462686567164,14.985074626865671,63.44621513944223,0.8507462686567164,2.1791044776119404,39.04109589041096,5.059701492537314,6.149253731343284,82.28155339805825,2.462686567164179,9.432835820895523,11.895522388059701,9.91044776119403,3.5074626865671643,2.825531914893617,1.2388059701492538,0.6567164179104478,0.6628486055776892,0.7044748920086393,124.84602197802198,111.54452747252746,13.301494505494517,2.5522388059701493,666
445,Andrew Nembhard,IND,2022-2023,69,43.47826086956522,27.333333333333332,8.985507246376812,0.32873806998939553,3.5942028985507246,8.18840579710145,43.89380530973451,1.2318840579710144,3.550724637681159,34.69387755102041,0.5652173913043478,0.7101449275362319,79.59183673469387,0.4492753623188406,2.1884057971014492,2.63768115942029,4.115942028985507,1.565217391304348,2.6296296296296298,0.9130434782608695,0.18840579710144928,0.5141592920353982,0.528505182760502,112.37563559322038,117.69698093220339,-5.321345338983008,2.420289855072464,-218
446,Brook Lopez,MIL,2022-2023,73,72.6027397260274,30.424657534246574,15.657534246575343,0.514633048176497,6.0,11.452054794520548,52.39234449760766,1.7945205479452055,4.794520547945205,37.42857142857143,1.8630136986301369,2.3972602739726026,77.71428571428571,1.9863013698630136,4.780821917808219,6.767123287671233,1.3150684931506849,1.3835616438356164,0.9504950495049505,0.4931506849315068,2.5205479452054793,0.6022727272727273,0.6259583789704272,113.19896629213483,106.893797752809,6.305168539325834,2.6027397260273974,339
447,Tari Eason,HOU,2022-2023,76,23.684210526315788,21.223684210526315,9.368421052631579,0.44141351518908867,3.6447368421052633,7.894736842105263,46.166666666666664,0.7236842105263158,2.0657894736842106,35.03184713375796,1.355263157894737,1.8157894736842106,74.63768115942028,2.3026315789473686,3.6184210526315788,5.921052631578948,1.013157894736842,1.2236842105263157,0.8279569892473119,1.1578947368421053,0.5526315789473685,0.5075,0.5388061508657223,108.73345701917131,113.88169449598024,-5.14823747680893,2.3289473684210527,-152
448,Jaden Ivey,DET,2022-2023,67,22.388059701492537,30.52238805970149,15.671641791044776,0.5134474327628362,5.268656716417911,12.746268656716419,41.33489461358314,1.492537313432836,4.462686567164179,33.44481605351171,3.6417910447761193,4.940298507462686,73.71601208459214,1.0,2.925373134328358,3.925373134328358,4.985074626865671,3.0597014925373136,1.6292682926829267,0.8208955223880597,0.2537313432835821,0.4718969555035129,0.5251890680645033,107.65886939571152,120.07017543859654,-12.411306042885016,3.1641791044776117,-551
449,Patrick Williams,CHI,2022-2023,75,48.0,28.52,10.106666666666667,0.3543712014960262,3.8,8.133333333333333,46.72131147540984,1.3733333333333333,3.2666666666666666,42.04081632653061,1.1333333333333333,1.3066666666666666,86.73469387755102,0.9466666666666667,3.12,4.066666666666666,1.24,1.28,0.96875,0.8533333333333334,0.8133333333333334,0.5516393442622951,0.5802915237628613,110.90804114071993,113.83595137914911,-2.9279102384291775,1.8266666666666667,-144
450,Tyrese Maxey,PHI,2022-2023,56,64.28571428571429,33.44642857142857,20.517857142857142,0.6134543513080619,7.446428571428571,15.517857142857142,47.986191024165706,2.625,6.160714285714286,42.608695652173914,3.0,3.5892857142857144,83.5820895522388,0.4107142857142857,2.517857142857143,2.9285714285714284,3.5535714285714284,1.3214285714285714,2.689189189189189,0.8214285714285714,0.125,0.5644418872266973,0.6000376002673796,117.99530916844346,112.43336886993606,5.561940298507395,2.1607142857142856,229
451,Killian Hayes,DET,2022-2023,69,21.73913043478261,27.608695652173914,9.855072463768115,0.3569553805774278,3.927536231884058,10.55072463768116,37.22527472527473,1.0434782608695652,3.710144927536232,28.125,0.9565217391304348,1.2173913043478262,78.57142857142857,0.3188405797101449,2.449275362318841,2.7681159420289854,6.159420289855072,2.2028985507246377,2.7960526315789473,1.4202898550724639,0.34782608695652173,0.4217032967032967,0.4444676845848149,106.94641173389212,118.06500785751699,-11.118596123624869,2.8840579710144927,-461
452,Khris Middleton,MIL,2022-2023,30,76.66666666666667,24.7,15.5,0.6275303643724697,5.533333333333333,12.533333333333333,44.148936170212764,1.5666666666666667,4.966666666666667,31.543624161073826,2.8666666666666667,3.2,89.58333333333334,0.8666666666666667,3.5,4.366666666666666,5.0,2.2666666666666666,2.2058823529411766,0.7666666666666667,0.16666666666666666,0.5039893617021277,0.5559009181331293,115.87338709677422,108.83749999999998,7.035887096774246,2.1333333333333333,141
453,Tobias Harris,PHI,2022-2023,70,64.28571428571429,33.114285714285714,15.0,0.45297670405522,5.8428571428571425,11.657142857142857,50.122549019607845,1.7714285714285714,4.457142857142857,39.743589743589745,1.542857142857143,1.7714285714285714,87.09677419354838,0.9142857142857143,4.885714285714286,5.8,2.5285714285714285,1.2285714285714286,2.058139534883721,0.9285714285714286,0.5428571428571428,0.5772058823529411,0.6030600992464621,117.29061154177435,111.34565030146422,5.9449612403101355,2.0,310
454,Chris Paul,PHX,2022-2023,54,51.85185185185185,31.85185185185185,13.555555555555555,0.4255813953488372,4.851851851851852,11.222222222222221,43.23432343234324,1.537037037037037,4.2407407407407405,36.24454148471616,2.314814814814815,2.7962962962962963,82.78145695364239,0.4444444444444444,3.8333333333333335,4.277777777777778,9.11111111111111,1.9074074074074074,4.776699029126213,1.5740740740740742,0.3888888888888889,0.5008250825082509,0.5442864790910713,114.94674796747968,113.38292682926827,1.5638211382114093,2.1666666666666665,45
455,Jordan Nwora,IND,2022-2023,56,60.71428571428571,18.107142857142858,8.089285714285714,0.4467455621301775,2.875,6.607142857142857,43.513513513513516,1.3035714285714286,3.125,41.714285714285715,1.0357142857142858,1.3035714285714286,79.45205479452055,0.8035714285714286,2.767857142857143,3.5714285714285716,1.3035714285714286,1.0535714285714286,1.2372881355932204,0.4107142857142857,0.21428571428571427,0.5337837837837838,0.5632646971053417,107.1207881773399,115.65556650246305,-8.534778325123142,1.0892857142857142,-174
