,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
114,JJ Redick,LAC,H,SAC,2017-04-12,W,29,136.5,105.8,30.8,19.0,0.0,22.2,0.0,7.7,3.8,0.0,57.7,62.8,23.7,86.36,12.1
115,Rashad Vaughn,MIL,A,BOS,2017-04-12,L,40,92.8,115.7,-22.9,16.7,0.8,16.7,4.9,2.2,3.4,20.8,46.7,45.3,21.7,98.53,2.1
116,Domantas Sabonis,OKC,H,DEN,2017-04-12,L,14,112.9,112.1,0.8,0.0,0.0,0.0,0.0,13.3,6.5,11.1,12.5,12.5,25.7,106.79,-13.9
117,Malcolm Brogdon,MIL,A,BOS,2017-04-12,L,23,113.0,110.9,2.2,17.6,0.0,23.1,7.4,13.0,10.0,0.0,55.0,55.0,17.9,94.7,13.7
118,Gerald Green,BOS,H,MIL,2017-04-12,W,21,113.6,79.1,34.6,7.7,1.0,5.3,4.0,27.8,14.0,5.3,46.7,53.7,36.0,99.11,16.2
119,Jonathon Simmons,SAS,A,UTA,2017-04-12,L,13,96.6,117.2,-20.7,11.1,0.5,14.3,7.1,11.1,8.7,28.6,25.0,25.0,18.8,109.61,-0.8
120,Paul Pierce,LAC,H,SAC,2017-04-12,W,2,66.7,125.0,-58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,98.15,-66.7
121,Tomas Satoransky,WAS,A,MIA,2017-04-12,L,30,105.0,98.3,6.7,18.5,2.5,35.7,3.7,10.3,7.1,14.3,14.3,14.3,13.6,95.92,2.3
122,Delon Wright,TOR,A,CLE,2017-04-12,W,28,109.3,80.0,29.3,0.0,0.0,0.0,3.4,0.0,1.7,7.7,35.0,38.3,21.0,93.04,0.6
123,Marcus Smart,BOS,H,MIL,2017-04-12,W,28,127.1,96.4,30.7,30.8,4.0,57.1,6.9,12.0,9.3,14.3,50.0,64.4,9.0,99.94,9.9
124,David West,GSW,H,LAL,2017-04-12,W,14,58.1,96.8,-38.7,20.0,0.25,12.5,17.6,6.3,12.1,50.0,33.3,33.3,18.9,109.28,-15.9
125,Vince Carter,MEM,H,DAL,2017-04-12,L,22,109.3,93.0,16.3,26.7,4.0,40.0,0.0,8.7,4.3,10.0,37.5,51.2,12.8,92.83,6.6
