,NYK,UTA,GSW,CLE,POR,SAS,PHI,MIN,DET,NOP,TOR,BKN,MEM,IND,MIA,DEN,DAL,MIL,SAC,OKC,ORL,PHX,CHA,HOU,BOS,LAL,LAC,WAS,ATL,CHI
59,9.0,9.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0
60,9.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0
61,9.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0
62,9.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0
63,9.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0
64,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0
65,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0
66,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0
67,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0
68,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,10.0
69,9.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,10.0
70,9.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,10.0
71,9.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0
72,9.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0
73,9.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0
74,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0
75,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0
76,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0
77,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0
78,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,9.0,11.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0
79,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0
80,9.0,9.0,10.0,8.0,8.0,10.0,9.0,8.0,10.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0
81,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0
