,Date,Home,Away,Favorite,Spread,O/U,Attendance,Capacity
164,11/22/2023,WAS,CHA,CHA,-3.5,240.5,16432,[]
165,11/22/2023,DEN,ORL,DEN,-3.5,218.5,18237,[]
166,11/22/2023,BKN,ATL,ATL,-3.5,236.5,17340,[]
167,11/22/2023,MIL,BOS,BOS,-6.5,235.5,19156,[]
168,11/22/2023,MIA,CLE,CLE,-0.5,212.5,19432,[]
169,11/22/2023,TOR,IND,IND,-2.5,241.5,17091,[]
170,11/22/2023,MEM,HOU,HOU,-4.5,213.5,18055,[]
171,11/22/2023,PHI,MIN,MIN,-6.5,220.5,18024,[]
172,11/22/2023,SAC,NOP,SAC,-1.5,234.5,16012,[]
173,11/22/2023,CHI,OKC,OKC,-6.5,223.5,18203,[]
174,11/22/2023,LAC,SAS,LAC,-7.5,230.5,18354,[]
175,11/22/2023,GSW,PHX,PHX,-3.5,233.5,17071,[]
176,11/22/2023,UTA,POR,UTA,-3.5,228.5,17819,[]
177,11/22/2023,DAL,LAL,LAL,-0.5,245.5,18997,[]
178,11/25/2023,PHI,OKC,PHI,-1.5,231.5,17125,[]
179,11/25/2023,MIA,BKN,BKN,-7.5,216.5,17817,[]
180,11/25/2023,ATL,WAS,ATL,-8.5,250.5,16276,[]
181,11/25/2023,LAL,CLE,CLE,-4.5,227.5,19432,[]
182,11/25/2023,NOP,UTA,NOP,-2.5,227.5,18206,[]
183,11/25/2023,DAL,LAC,LAC,-0.5,237.5,19370,[]
184,11/26/2023,POR,MIL,MIL,-12.5,231.5,17602,[]
185,11/26/2023,ATL,BOS,BOS,-7.5,234.5,19156,[]
186,11/26/2023,PHX,NYK,NYK,-6.5,219.5,19812,[]
187,11/26/2023,CHA,ORL,ORL,-6.5,227.5,18846,[]
188,11/26/2023,MIN,MEM,MIN,-6.5,217.5,15764,[]
189,11/26/2023,CHI,BKN,BKN,-2.5,221.5,16687,[]
190,11/26/2023,TOR,CLE,CLE,-3.5,222.5,19432,[]
191,11/26/2023,SAS,DEN,DEN,-10.5,229.5,19665,[]
192,11/27/2023,WAS,DET,DET,-2.5,237.5,14346,[]
193,11/27/2023,POR,IND,IND,-11.5,240.5,14508,[]
194,11/27/2023,LAL,PHI,PHI,-5.5,230.5,19907,[]
195,11/27/2023,NOP,UTA,NOP,-6.5,232.5,18206,[]
196,11/27/2023,DEN,LAC,LAC,-11.5,217.5,17071,[]
197,11/29/2023,LAL,DET,LAL,-8.5,230.5,20062,[]
198,11/29/2023,WAS,ORL,ORL,-10.5,235.5,17109,[]
199,11/29/2023,PHX,TOR,PHX,-2.5,227.5,19800,[]
200,11/29/2023,UTA,MEM,MEM,-3.5,223.5,15327,[]
201,11/29/2023,PHI,NOP,NOP,-2.5,228.5,16009,[]
202,11/29/2023,HOU,DEN,DEN,-10.5,217.5,19590,[]
203,11/29/2023,LAC,SAC,LAC,-1.5,231.5,17829,[]
204,11/30/2023,POR,CLE,CLE,-12.5,220.5,19432,[]
205,11/30/2023,CHA,BKN,BKN,-8.5,224.5,16072,[]
206,11/30/2023,IND,MIA,MIA,-3.5,238.5,19604,[]
