,DEN,PHX,GSW,LAL,DET,TOR,CLE,MIN,LAC,NOP,ATL,MIA,IND,OKC,CHA,HOU,WAS,BOS,SAS,SAC,CHI,POR,NYK,BKN,DAL,ORL,MEM,UTA,PHI,MIL
60,9.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,10.0,8.0,10.0,9.0,9.0,8.0,9.0
61,9.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0
62,9.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0
63,9.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
64,9.0,8.0,10.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
65,9.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
66,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
67,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
68,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
69,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0
70,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0
71,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
72,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
73,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0
74,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0
75,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0
76,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0
77,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0
78,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0
79,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0
80,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0
81,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0
