,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
77,Emoni Bates CLE,CLE,H,04/14/2024,L,29,91.7,130.5,-38.8,15.0,0.50,14.3,0.0,12.5,5.0,28.6,29.2,29.2,26.1,97.09,-1.5,
78,Timmy Allen MEM,MEM,H,04/14/2024,L,24,100.0,107.4,-7.4,4.8,0.00,25.0,0.0,3.6,1.7,0.0,0.0,17.4,4.8,104.11,-1.2,
79,Marcus Morris Sr.,CLE,H,CHA,04/14/2024,L,19,121.1,116.2,4.8,0.0,0.00,0.0,4.0,11.8,7.1,10.0,38.9,38.9,21.3,95.74,0.5
80,Keegan Murray SAC,SAC,H,04/14/2024,W,27,128.6,82.1,46.4,4.5,1.00,6.7,4.8,9.5,7.9,6.7,41.7,46.6,23.3,98.52,6.3,
81,Mason Jones SAC,SAC,H,04/14/2024,W,6,41.7,108.3,-66.7,0.0,0.00,0.0,0.0,0.0,0.0,50.0,0.0,0.0,14.3,101.95,-66.7,
82,DeMar DeRozan CHI,CHI,H,04/14/2024,L,45,113.6,112.4,1.3,16.7,2.50,14.7,4.5,7.7,6.0,5.9,50.0,54.5,29.3,95.50,13.8,
83,Garrison Mathews ATL,ATL,H,04/14/2024,L,21,119.1,132.6,-13.5,0.0,0.00,0.0,0.0,0.0,0.0,0.0,60.0,60.0,9.4,106.29,3.8,
84,Amari Bailey CHA,CHA,H,04/14/2024,W,22,133.3,88.6,44.7,29.4,5.00,29.4,23.5,3.6,11.1,5.9,45.0,50.6,25.0,95.41,14.1,
85,Nikola Jovic MIA,MIA,H,04/14/2024,W,16,90.3,103.1,-12.8,10.0,0.00,20.0,0.0,15.0,8.3,0.0,37.5,37.5,10.8,94.80,7.8,
86,Taurean Prince LAL,LAL,H,04/14/2024,W,20,129.5,102.3,27.2,0.0,0.00,0.0,0.0,5.3,2.7,22.2,58.3,65.4,18.0,103.37,6.1,
87,Maxwell Lewis LAL,LAL,H,04/14/2024,W,2,0.0,83.3,-83.3,0.0,0.00,0.0,0.0,0.0,0.0,50.0,0.0,0.0,40.0,127.74,-400.0,
88,Jae Crowder MIL,MIL,H,04/14/2024,L,22,73.3,135.7,-62.4,0.0,0.00,0.0,4.2,5.6,4.8,25.0,50.0,50.0,16.0,94.62,0.7,
89,Bojan Bogdanovic NYK,NYK,H,04/14/2024,W,17,111.4,124.2,-12.8,11.1,0.00,9.1,0.0,12.5,5.7,0.0,61.1,65.8,25.0,94.35,15.8,
90,Buddy Hield PHI,PHI,H,04/14/2024,W,22,118.2,76.2,42.0,33.3,5.00,22.7,7.7,19.2,13.5,4.5,53.3,58.2,32.7,94.90,22.2,
91,Keon Ellis SAC,SAC,H,04/14/2024,W,24,143.8,79.6,64.2,9.5,2.00,15.4,4.3,5.7,5.2,7.7,61.1,65.8,19.6,96.26,12.3,
92,Moses Moody GSW,GSW,H,04/14/2024,W,17,125.7,91.4,34.3,16.7,2.00,16.7,0.0,6.3,2.8,8.3,43.8,50.7,22.7,99.12,10.2,
93,Zion Williamson NOP,NOP,H,04/14/2024,L,34,104.2,129.7,-25.6,32.0,2.00,29.6,8.3,21.7,13.6,14.8,30.8,39.5,23.5,102.06,7.0,
94,Pat Spencer GSW,GSW,H,04/14/2024,W,15,115.2,93.9,21.2,23.1,3.00,42.9,11.8,13.3,12.5,14.3,33.3,33.3,10.5,104.55,8.2,
95,Jonas Valanciunas NOP,NOP,H,04/14/2024,L,7,86.7,164.3,-77.6,20.0,0.25,12.5,0.0,75.0,42.9,50.0,33.3,33.3,46.7,95.78,-7.1,
96,Karl-Anthony Towns MIN,MIN,H,04/14/2024,L,29,103.5,135.1,-31.6,12.5,0.40,11.8,9.1,15.4,12.5,29.4,43.8,51.2,23.1,93.70,1.7,
97,James Johnson IND,IND,H,04/14/2024,W,7,100.0,64.3,35.7,16.7,1.00,33.3,0.0,0.0,0.0,33.3,0.0,0.0,13.3,102.35,-13.0,
98,Troy Brown Jr.,DET,A,SAS,04/14/2024,L,11,69.2,108.0,-38.8,12.5,0.00,25.0,0.0,21.4,9.7,0.0,0.0,0.0,9.7,109.61,6.0
99,Reggie Bullock Jr.,HOU,A,LAC,04/14/2024,W,6,68.8,80.0,-11.3,0.0,0.00,0.0,0.0,37.5,21.4,50.0,0.0,0.0,11.1,125.39,0.0
100,Nic Claxton BKN,BKN,H,04/14/2024,L,20,87.8,104.8,-17.0,9.1,0.33,10.0,4.5,26.9,16.7,30.0,50.0,50.0,20.5,98.21,7.7,
101,Daniel Theis LAC,LAC,H,04/14/2024,L,29,100.0,89.7,10.3,10.0,2.00,12.5,7.3,22.2,14.3,6.3,58.3,62.1,17.7,112.37,17.1,
102,Delon Wright MIA,MIA,H,04/14/2024,W,28,129.5,94.9,34.6,14.8,4.00,33.3,4.8,6.7,5.9,8.3,78.6,78.6,11.9,101.83,12.9,
103,Jalen Wilson BKN,BKN,H,04/14/2024,L,32,84.6,103.0,-18.4,6.3,0.00,7.1,5.3,17.9,11.7,0.0,34.6,34.6,18.6,98.23,6.6,
