,LAL,NOP,LAC,TOR,PHX,CLE,SAC,DEN,UTA,ORL,BOS,PHI,MEM,IND,CHA,DET,POR,MIN,WAS,MIA,CHI,DAL,BKN,NYK,SAS,OKC,HOU,GSW,MIL,ATL
61,10.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0
62,10.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0
63,10.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0
64,10.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,,10.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0
65,10.0,9.0,10.0,8.0,9.0,,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,,10.0,8.0,,9.0,9.0,,8.0,9.0,10.0,9.0,9.0,9.0,,10.0,9.0
66,10.0,9.0,10.0,8.0,9.0,,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,,,8.0,,9.0,9.0,,8.0,10.0,,9.0,9.0,8.0,,10.0,9.0
67,10.0,9.0,10.0,8.0,8.0,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,8.0,,9.0,9.0,,8.0,10.0,,9.0,9.0,8.0,,10.0,
68,10.0,9.0,10.0,8.0,8.0,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,8.0,,9.0,9.0,,8.0,10.0,,9.0,9.0,8.0,,10.0,
69,10.0,9.0,10.0,8.0,8.0,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,8.0,,9.0,9.0,,8.0,9.0,,9.0,9.0,8.0,,10.0,
70,10.0,9.0,10.0,8.0,8.0,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,8.0,,9.0,9.0,,8.0,9.0,,9.0,10.0,8.0,,10.0,
71,,9.0,9.0,9.0,8.0,,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,,,8.0,,9.0,9.0,,8.0,9.0,,,10.0,9.0,,10.0,
72,,,,,8.0,,,9.0,,10.0,,9.0,9.0,9.0,,,8.0,,,9.0,,8.0,,,,,,,10.0,
73,,,,,,,,,,,,,,,,,8.0,,,,,8.0,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,
